rank,name,year,score
1,Queen Charlotte: A Bridgerton Story,2023,7.1
2,Silo,2023,8.3
3,Succession,2018,8.8
4,Ted Lasso,2020,8.8
5,The Diplomat,2023,8.1
6,Love & Death,2023,7.6
7,Citadel,2023,6.3
8,Queen Cleopatra,2023,1.0
9,Barry,2018,8.4
10,The Marvelous Mrs. Maisel,2017,8.7
11,Yellowjackets,2021,7.9
12,Beef,2023,8.2
13,Bridgerton,2020,7.4
14,Jury Duty,2023,8.4
15,From,2022,7.7
16,Sweet Tooth,2021,7.8
17,Game of Thrones,2011,9.2
18,The Mandalorian,2019,8.7
19,The Night Agent,2023,7.5
20,The Rookie,2018,8.0
21,Firefly Lane,2021,7.6
22,Yellowstone,2018,8.7
23,Breaking Bad,2008,9.5
24,White House Plumbers,2023,6.6
25,Rabbit Hole,2023,7.5
26,Better Call Saul,2015,8.9
27,Bupkis,2023,7.4
28,The Last of Us,2023,8.8
29,A Small Light,2023,7.9
30,The Walking Dead,2010,8.1
31,Grey's Anatomy,2005,7.6
32,The Last Thing He Told Me,2023,6.9
33,Black Mirror,2011,8.8
34,Young Sheldon,2017,7.6
35,The Flash,2014,7.5
36,Shameless,2011,8.6
37,The Good Doctor,2017,8.0
38,Demon Slayer: Kimetsu no Yaiba,2019,8.7
39,The Blacklist,2013,8.0
40,Fatal Attraction,2023,5.9
41,It's Always Sunny in Philadelphia,2005,8.8
42,The Boys,2019,8.7
43,The Office,2005,9.0
44,Class of '09,2023,6.1
45,Mrs. Davis,2023,7.2
46,Law & Order: Special Victims Unit,1999,8.1
47,Stranger Things,2016,8.7
48,NCIS,2003,7.8
49,The Crown,2016,8.6
50,The Last Kingdom,2015,8.5
51,The Sopranos,1999,9.2
52,Supernatural,2005,8.4
53,True Detective,2014,8.9
54,The White Lotus,2021,7.9
55,Saas, Bahu Aur Flamingo,2023,8.3
56,The Great,2020,8.2
57,Suits,2011,8.4
58,Will Trent,2023,7.6
59,9-1-1,2018,7.8
60,Titans,2018,7.5
61,The Crowded Room,2023,NA
62,Criminal Minds,2005,8.1
63,Star Wars: Visions,2021,7.0
64,Modern Family,2009,8.5
65,Star Trek: Picard,2020,7.4
66,Attack on Titan,2013,9.1
67,Peaky Blinders,2013,8.8
68,Black Knight,2023,6.3
69,House,2004,8.7
70,Ghosts,2021,7.9
71,Friends,1994,8.9
72,The Big Bang Theory,2007,8.2
73,Shrinking,2023,8.0
74,Severance,2022,8.7
75,Euphoria,2019,8.3
76,Fear the Walking Dead,2015,6.8
77,Outlander,2014,8.4
78,Sex Education,2019,8.3
79,Dead Ringers,2023,6.4
80,One Piece,1999,8.9
81,Sanctuary,2023,8.0
82,Workin' Moms,2017,7.8
83,Wednesday,2022,8.1
84,Reacher,2022,8.1
85,Doctor Who,2005,8.6
86,1923,2022,8.4
87,Florida Man,2023,6.7
88,Vikings,2013,8.5
89,Sex/Life,2021,5.5
90,South Park,1997,8.7
91,Bones,2005,7.8
92,The Sandman,2022,7.7
93,House of the Dragon,2022,8.5
94,The Wire,2002,9.3
95,Midsomer Murders,1997,7.9
96,Lost,2004,8.3
97,Candy,2022,7.2
98,You,2018,7.7
99,Dalgliesh,2021,7.5
100,The Company You Keep,2023,7.3